Ville de Bruxelles - Département / Stad Brussel - Departement;Type de marché (Travaux, fournitures, services - objet du marché - procédure de passation - réf CSC);Type opdracht  (werken, leveringen, diensten - voorwerp van de opdracht - plaatsingsprocedure - ref bestek);Date du marché - Datum van de opdracht;Bénéficiaires (opérateur économique à qui le marché a été attribué) / Begunstigden  (onderneming aan wie de opdracht werd toegewezen);Montant engagé TVAC / vastgelegd bedrag btwi;Column 7;Column 8;Column 9;Column 10;Column 11;Column 12;Column 13;Column 14;Column 15;Column 16;Column 17;Column 18;Column 19;Column 20;Column 21;Column 22;Column 23;Column 24;Column 25;Column 26;Column 27;Column 28;Column 29;Column 30;Column 31;Column 32;Column 33;Column 34;Column 35;Column 36;Column 37;Column 38;Column 39;Column 40;Column 41;Column 42;Column 43;Column 44;Column 45;Column 46;Column 47;Column 48;Column 49;Column 50;Column 51;Column 52;Column 53;Column 54;Column 55;Column 56;Column 57;Column 58;Column 59;Column 60;Column 61;Column 62;Column 63;Column 64;Column 65;Column 66;Column 67;Column 68;Column 69;Column 70;Column 71;Column 72;Column 73;Column 74;Column 75;Column 76;Column 77;Column 78;Column 79;Column 80
Organisation / Organisatie;Marché à faible montant - Marché public de services ayant pour but l'enlèvement des sacs de courrier de l'administration;Overheidsopdracht van beperkte waarde - Openbare opdracht voor diensten met als doel het ophalen van de postzakken van de administratie;2021-02-15;BPOST SA de droit public;1.393,68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Organisation / Organisatie;Marché de services à faible montant : prestation dans le cadre de la Quinzaine de la Solidarité Internationale 2021, Marché négocié;Overheidsopdracht voor diensten van beperkte waarde : prestatie  voor de campagne van de Veertiendaagse van de Internationale Solidariteit 2021. Onderhandelingsopdracht;2021-06-24;Vlaams-Brusselse Media vzw, place Eugène Flagey 18 à 1050 Ixelles (547.949.238);1.916,64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Organisation / Organisatie;Marché de services à faible montant : prestation dans le cadre de la Quinzaine de la Solidarité Internationale 2021, Marché négocié;Overheidsopdracht voor diensten van beperkte waarde : prestatie  voor de campagne van de Veertiendaagse van de Internationale Solidariteit 2021. Onderhandelingsopdracht;2021-07-15;ADVENTIST DEVELOPMENT AND RELIEF AGENCY - BELGIUM ASBL, rue Ernest Allard 11 1000 Bruxelles - BE 867.783.180;2.500,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Organisation / Organisatie;Marché de services à faible montant : prestation dans le cadre de la Quinzaine de la Solidarité Internationale 2021, Marché négocié;Overheidsopdracht voor diensten van beperkte waarde : prestatie  voor de campagne van de Veertiendaagse van de Internationale Solidariteit 2021. Onderhandelingsopdracht;2021-07-15;FEMMES PREVOYANTES SOCIALISTES DU BRABANT, rue du Midi 120 - 1000 Bruxelles - BE 0408.208.662;770,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Organisation / Organisatie;Marché de services à faible montant : prestation dans le cadre de la Quinzaine de la Solidarité Internationale 2021, Marché négocié;Overheidsopdracht voor diensten van beperkte waarde : prestatie  voor de campagne van de Veertiendaagse van de Internationale Solidariteit 2021. Onderhandelingsopdracht;2021-07-15;Actions Consommateurs Travailleurs, en abrégé achACT ASBL, Verte Voie 20/7, 1348 Louvain-la-Neuve - BE 0864.685.120;1.572,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Organisation / Organisatie;Marché de services à faible montant : prestation dans le cadre de la Quinzaine de la Solidarité Internationale 2021, Marché négocié;Overheidsopdracht voor diensten van beperkte waarde : prestatie  voor de campagne van de Veertiendaagse van de Internationale Solidariteit 2021. Onderhandelingsopdracht;2021-07-15;Wervel VZW, rue d’Edimbourg 26 - 1050 Ixelles - BE 0458.341.034;250,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Organisation / Organisatie;Marché de services à faible montant : prestation dans le cadre de la Quinzaine de la Solidarité Internationale 2021, Marché négocié;Overheidsopdracht voor diensten van beperkte waarde : prestatie  voor de campagne van de Veertiendaagse van de Internationale Solidariteit 2021. Onderhandelingsopdracht;2021-09-23;LADYAGRI IMPACT INVESTMENT HUB ASBL, avenue Louise 527, 1050 Bruxelles - BE 712.963.856;2.765,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Organisation / Organisatie;Marché de services à faible montant : prestation dans le cadre de la Quinzaine de la Solidarité Internationale 2021, Marché négocié;Overheidsopdracht voor diensten van beperkte waarde : prestatie  voor de campagne van de Veertiendaagse van de Internationale Solidariteit 2021. Onderhandelingsopdracht;2021-09-23;CHOUETTE ASBL, rue Detty 81 - 1060 Bruxelles - BE 840.990.691;1.300,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Organisation / Organisatie;Marché public de services ayant pour but la location et l'entretien, pendant 36 mois, de tapis antisouillures pour divers départements de la Ville CDA/010133/MMG;Overheidsopdracht voor diensten met het doel het huren en onderhouden, gedurende 36 maanden, van antivuilmatten voor verschillende departementen van de Stad CDA/010133/MMG;2019-01-01;"Absormat sprl 
rue de Halle 36/38 
1190 Bruxelles";2.750,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Organisation / Organisatie;Marchés de faible montant Fournitures;Opdrachten van geringe waarde Leveringen;2021-04-22;Pop Media;2.112,66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
