Identifiant ICAR;Code postal;Code rue;ICAR - Code rue RN;Code ins commune;Localité;Secteur Electoral;Nom rue;Année de dénomination;Nom rue Population;Code postal Homonyme2;Code rue Homonyme2;Rue nom Homonyme2;Code postal Homonyme3;Code rue Homonyme3;Rue nom Homonyme3;Code postal Homonyme4;Code rue Homonyme4;Rue nom Homonyme4;Collège communal;Conseil Communal;Nom rue RN;Type voirie;Rue dans Corbeille;Voirie Privée/Publique;Rue Régionale/Communale;Nom rue Cadastre;Rue en Majuscule;Nom rue en Minuscule;Mot clé;Code Ins Entité;Entité;Date données Population;Nombre Ménages;Nombre Habitants;Code rue - Nom de rue;Thématique;Localités;Zone(s) stationnement
7753220;5020;6494;6494;92082;MALONNE;23;Chemin de Reumont;1981;Chemin de Reumont(ML)(AVANT 01.01.81 Ptie Reumont);;;;;;;;;;;;;VOIRIE;;PUBLIQUE;COMMUNALE;CHEM DE REUMONT;REUMONT (Chemin de );Reumont (Chemin de );Reumont;92094;Namur;2023-05-07;19;77;6494-Chemin de Reumont;Pas de renseignement;Malonne;
7753864;5020;7110;7110;92102;RHISNES;29;Rue de l'Innovation;2011;Rue de l'Innovation(RH);;;;;;;;;;2011-11-15;2011-11-21;2012-01-12;VOIRIE;;PRIVEE;COMMUNALE;R DE L INNOVATION;INNOVATION (Rue de l' );Innovation (Rue de l' );Innovation;92094;Namur;2023-05-07;3;8;7110-Rue de l'Innovation;Métiers;Rhisnes(Namur);
7754160;5020;8460;8460;92128;VEDRIN;31;Rue du Blanc-Bois;1979;Rue du Blanc-Bois(VD)(AVANT 28.05.79 Avenue du Chateau);;;;;;;;;;1979-05-28;1979-05-28;1979-05-28;VOIRIE;;PUBLIQUE;COMMUNALE;R DU BLANC BOIS;BLANC-BOIS (Rue du );Blanc-Bois (Rue du );Blanc-Bois;92094;Namur;2023-05-07;30;85;8460-Rue du Blanc-Bois;Pas de renseignement;Vedrin;
7753349;5101;4844;4844;92039;ERPENT;14;Clos du Chaurnoi;2004;Clos du Chaurnoi(EP);;;;;;;;;;2003-11-18;2004-01-22;2004-02-17;VOIRIE;;PUBLIQUE;COMMUNALE;CL DU CHAURNOI;CHAURNOI (Clos du );Chaurnoi (Clos du );Chaurnoi;92094;Namur;2023-05-07;7;19;4844-Clos du Chaurnoi;Pas de renseignement;Erpent;
7754647;5000;1673;1673;92094;NAMUR;04;Sentier Saint-Simon;;Sentier Saint-Simon(NR);;;;;;;;;;;;;VOIRIE;;;;SENT ST-SIMON;SAINT-SIMON (Sentier );Saint-Simon (Sentier );Saint-Simon;92094;Namur;2023-05-07;0;0;1673-Sentier Saint-Simon;Culte;Namur;
7753907;5100;5605;5517;92067;JAMBES;18;Rue d'Enhaive;;Rue d'Enhaive(JB) n°201 à fin et 250 à fin;5100;5517;Rue d'Enhaive(JB) n°1 à199 et 2 à 248;;;;;;;;;;VOIRIE;;PUBLIQUE;COMMUNALE;R D ENHAIVE;ENHAIVE (Rue d' );Enhaive (Rue d' );Enhaive;92094;Namur;2023-05-07;164;314;5605-Rue d'Enhaive;Géographie;Jambes;
7754250;5100;5818;5818;92067;JAMBES;20;Rue du Passage d'Eau;;Rue du Passage d'Eau(JB);;;;;;;;;;;;;VOIRIE;;PUBLIQUE;COMMUNALE;R DU PASSAGE D EAU;PASSAGE D'EAU (Rue du );Passage d'Eau (Rue du );Passage d'Eau;92094;Namur;2023-05-07;12;32;5818-Rue du Passage d'Eau;Topo;Jambes;
7753882;5100;8678;8678;92135;WEPION;32;Rue de Monin;;Rue de Monin(WP);;;;;;;;;;;;;VOIRIE;;PUBLIQUE;COMMUNALE;R DE MONIN;MONIN (Rue de );Monin (Rue de );Monin;92094;Namur;2023-05-07;12;33;8678-Rue de Monin;Pas de renseignement;Wépion;
7753689;5020;8336;8336;92128;VEDRIN;31;Rue d'Arquet;1997;Rue d'Arquet(VD)(AVANT 12.05.97 Rue d'Arquet(NR)) n° 150 à 164 pairs;5000;1000;Rue d'Arquet(NR) n° 1 à 189 et 2 à 148;;;;;;;1997-05-12;;1997-07-15;VOIRIE;;PUBLIQUE;COMMUNALE;R D ARQUET;ARQUET (Rue d' );Arquet (Rue d' );Arquet;92094;Namur;2023-05-07;3;5;8336-Rue d'Arquet;Géographie;Vedrin;
7753322;5101;4847;4847;92039;ERPENT;14;Clos de la Verveine;2004;Clos de la Verveine(EP);;;;;;;;;;2004-06-22;2004-09-08;2004-11-30;VOIRIE;;PRIVEE;COMMUNALE;CL DE LA VERVEINE;VERVEINE (Clos de la );Verveine (Clos de la );Verveine;92094;Namur;2023-05-07;8;25;4847-Clos de la Verveine;Faune et Flore;Erpent;
