ID;Adresse;Numéro
DE02;Avenue Maurice Destenay;du 6 au 18
DE07;Avenue Maurice Destenay;à l'opposé de Liège 1
DE17;Avenue Maurice Destenay;Liège 1
SA01;Boulevard de la Sauvenière;149/153 au 143
SA03;Boulevard de la Sauvenière;149/153 au 143
SA04;Boulevard de la Sauvenière;149/153 au 143
SA13;Boulevard de la Sauvenière;du 131 au 135
SA17;Boulevard de la Sauvenière;du 44 au 54
SA20;Boulevard de la Sauvenière;du 44 au 54
SA21;Boulevard de la Sauvenière;du 140 au 150
CM05;Rue Charles-Magnette;du 14 au 30
CM07;Rue Charles-Magnette;du 14 au 30
PR02;Chaussée-des-Prés;du 2 3 au 15
PR06;Chaussée-des-Prés;du 2 3 au 15
CL04;Rue des Clarisses;du 58 au 50
CL06;Rue des Clarisses;du 58 au 50
CL08;Rue des Clarisses;du 58 au 50
CL11;Rue des Clarisses;du 4 au 16
JO01;Rue Jean-d'Outremeuse;du 37 au 31
JO03;Rue Jean-d'Outremeuse;du 37 au 31
JO06;Rue Jean-d'Outremeuse;du 37 au 31
PS04;Rue Puits-en-Sock;du 162 au 156
PS14;Rue Puits-en-Sock;du 6 au 20
PS18;Rue Puits-en-Sock;du 6 au 20
PS19;Rue Puits-en-Sock;du 6 au 20
PS13;Rue Puits-en-Sock;du 86 au 96
BA01;La Batte;du 27 au 21
BA04;La Batte;du 27 au 21
BA05;La Batte;du 27 au 21
GU02;Rue des Guillemins;du 14  au 26
GU04;Rue des Guillemins;du 14  au 26
GU05;Rue des Guillemins;du 14  au 26
GU07;Rue des Guillemins;du 78 à Dartois
GU08;Rue des Guillemins;du 78 à Dartois
GU18;Rue des Guillemins;du 89 au 109
GU20;Rue des Guillemins;du 89 au 109
GU21;Rue des Guillemins;du 55 au 83
GU23;Rue des Guillemins;du 55 au 83
GU24;Rue des Guillemins;du 55 au 83
GU11;Rue des Guillemins;du 55 au 83
GU15;Rue des Guillemins;du 55 au 83
GU28;Rue des Guillemins;du 19 au 17b
PA02;Rue Paradis;du 58 après H au 62 avant garage
