jsondatas;Identifiant;Type;Catégorie;Description;Localisation;Nom;jsondatas_refdevice_value;jsondatas_refparkinggroup_value;jsondatas_refparkingsite_value;Statut;Date du statut;Adresse;Url
"{""id"": ""377"", ""type"": ""ParkingSpot"", ""category"": {""type"": ""Text"", ""value"": [""onstreet"", ""KISSANDRIDE""], ""metadata"": {}}, ""dateModified"": {""type"": ""DateTime"", ""value"": ""2023-02-28T17:52:49.00Z"", ""metadata"": {}}, ""description"": {""type"": ""Text"", ""value"": ""WA05"", ""metadata"": {}}, ""location"": {""type"": ""Point"", ""value"": {""coordinates"": [""50.62980206"", ""5.55666930""]}, ""metadata"": {}}, ""name"": {""type"": ""Text"", ""value"": ""WA05"", ""metadata"": {}}, ""refDevice"": {""type"": ""Text"", ""value"": ""1959"", ""metadata"": {}}, ""refParkingGroup"": {""type"": ""Text"", ""value"": ""65"", ""metadata"": {}}, ""refParkingSite"": {""type"": ""Text"", ""value"": ""LIEGE"", ""metadata"": {}}, ""status"": {""type"": ""Text"", ""value"": ""OCCUPIED"", ""metadata"": {""timestamp"": {""type"": ""DateTime"", ""value"": ""2023-02-28T17:52:49.00Z""}}}, ""session"": {""type"": ""Number"", ""value"": 3228047, ""metadata"": {}}}";377;ParkingSpot;onstreet,KISSANDRIDE;WA05;50.62980206, 5.5566693;WA05;1959;65;LIEGE;Occupé;2023-02-28T18:52:49+01:00;;https://www.liege.be/kissandride
"{""id"": ""906"", ""type"": ""ParkingSpot"", ""category"": {""type"": ""Text"", ""value"": [""onstreet"", ""SHOPANDDRIVE""], ""metadata"": {}}, ""dateModified"": {""type"": ""DateTime"", ""value"": ""2023-04-03T11:34:26.00Z"", ""metadata"": {}}, ""description"": {""type"": ""Text"", ""value"": ""GI13"", ""metadata"": {}}, ""location"": {""type"": ""Point"", ""value"": {""coordinates"": [""50.63283759"", ""5.54764986""]}, ""metadata"": {}}, ""name"": {""type"": ""Text"", ""value"": ""GI13"", ""metadata"": {}}, ""refDevice"": {""type"": ""Text"", ""value"": ""1929"", ""metadata"": {}}, ""refParkingGroup"": {""type"": ""Text"", ""value"": ""12"", ""metadata"": {}}, ""refParkingSite"": {""type"": ""Text"", ""value"": ""LIEGE"", ""metadata"": {}}, ""status"": {""type"": ""Text"", ""value"": ""OCCUPIED"", ""metadata"": {""timestamp"": {""type"": ""DateTime"", ""value"": ""2023-04-03T11:34:26.00Z""}}}, ""session"": {""type"": ""Number"", ""value"": 3408423, ""metadata"": {}}}";906;ParkingSpot;onstreet,SHOPANDDRIVE;GI13;50.63283759, 5.54764986;GI13;1929;12;LIEGE;Occupé;2023-04-03T13:34:26+02:00;;https://www.liege.be/shopanddrive
"{""id"": ""1002"", ""type"": ""ParkingSpot"", ""category"": {""type"": ""Text"", ""value"": [""onstreet"", ""SHOPANDDRIVE""], ""metadata"": {}}, ""dateModified"": {""type"": ""DateTime"", ""value"": ""2023-03-31T10:21:43.00Z"", ""metadata"": {}}, ""description"": {""type"": ""Text"", ""value"": ""OB07"", ""metadata"": {}}, ""location"": {""type"": ""Point"", ""value"": {""coordinates"": [""50.61989354"", ""5.56493129""]}, ""metadata"": {}}, ""name"": {""type"": ""Text"", ""value"": ""OB07"", ""metadata"": {}}, ""refDevice"": {""type"": ""Text"", ""value"": ""1961"", ""metadata"": {}}, ""refParkingGroup"": {""type"": ""Text"", ""value"": ""142"", ""metadata"": {}}, ""refParkingSite"": {""type"": ""Text"", ""value"": ""LIEGE"", ""metadata"": {}}, ""status"": {""type"": ""Text"", ""value"": ""FREE"", ""metadata"": {""timestamp"": {""type"": ""DateTime"", ""value"": ""2023-03-31T10:21:43.00Z""}}}, ""session"": {""type"": ""Number"", ""value"": 3393784, ""metadata"": {}}}";1002;ParkingSpot;onstreet,SHOPANDDRIVE;OB07;50.61989354, 5.56493129;OB07;1961;142;LIEGE;Libre;2023-03-31T12:21:43+02:00;;https://www.liege.be/shopanddrive
"{""id"": ""944"", ""type"": ""ParkingSpot"", ""category"": {""type"": ""Text"", ""value"": [""onstreet"", ""SHOPANDDRIVE""], ""metadata"": {}}, ""dateModified"": {""type"": ""DateTime"", ""value"": ""2023-03-30T18:11:48.00Z"", ""metadata"": {}}, ""description"": {""type"": ""Text"", ""value"": ""PV02"", ""metadata"": {}}, ""location"": {""type"": ""Point"", ""value"": {""coordinates"": [""50.64362587"", ""5.58702931""]}, ""metadata"": {}}, ""name"": {""type"": ""Text"", ""value"": ""PV02"", ""metadata"": {}}, ""refDevice"": {""type"": ""Text"", ""value"": ""2001"", ""metadata"": {}}, ""refParkingGroup"": {""type"": ""Text"", ""value"": ""125"", ""metadata"": {}}, ""refParkingSite"": {""type"": ""Text"", ""value"": ""LIEGE"", ""metadata"": {}}, ""status"": {""type"": ""Text"", ""value"": ""OCCUPIED"", ""metadata"": {""timestamp"": {""type"": ""DateTime"", ""value"": ""2023-03-30T18:11:48.00Z""}}}, ""session"": {""type"": ""Number"", ""value"": 3390903, ""metadata"": {}}}";944;ParkingSpot;onstreet,SHOPANDDRIVE;PV02;50.64362587, 5.58702931;PV02;2001;125;LIEGE;Occupé;2023-03-30T20:11:48+02:00;;https://www.liege.be/shopanddrive
"{""id"": ""120"", ""type"": ""ParkingSpot"", ""category"": {""type"": ""Text"", ""value"": [""onstreet"", ""SHOPANDDRIVE""], ""metadata"": {}}, ""dateModified"": {""type"": ""DateTime"", ""value"": ""2023-03-19T20:22:19.00Z"", ""metadata"": {}}, ""description"": {""type"": ""Text"", ""value"": ""GR29"", ""metadata"": {}}, ""location"": {""type"": ""Point"", ""value"": {""coordinates"": [""50.63563000"", ""5.58057200""]}, ""metadata"": {}}, ""name"": {""type"": ""Text"", ""value"": ""GR29"", ""metadata"": {}}, ""refDevice"": {""type"": ""Text"", ""value"": ""2122"", ""metadata"": {}}, ""refParkingGroup"": {""type"": ""Text"", ""value"": ""2"", ""metadata"": {}}, ""refParkingSite"": {""type"": ""Text"", ""value"": ""LIEGE"", ""metadata"": {}}, ""status"": {""type"": ""Text"", ""value"": ""OCCUPIED"", ""metadata"": {""timestamp"": {""type"": ""DateTime"", ""value"": ""2023-03-19T20:22:19.00Z""}}}, ""session"": {""type"": ""Number"", ""value"": 3330946, ""metadata"": {}}}";120;ParkingSpot;onstreet,SHOPANDDRIVE;GR29;50.63563, 5.580572;GR29;2122;2;LIEGE;Occupé;2023-03-19T21:22:19+01:00;Rue Grétry;https://www.liege.be/shopanddrive
"{""id"": ""935"", ""type"": ""ParkingSpot"", ""category"": {""type"": ""Text"", ""value"": [""onstreet"", ""SHOPANDDRIVE""], ""metadata"": {}}, ""dateModified"": {""type"": ""DateTime"", ""value"": ""2023-03-18T09:38:11.00Z"", ""metadata"": {}}, ""description"": {""type"": ""Text"", ""value"": ""MO03"", ""metadata"": {}}, ""location"": {""type"": ""Point"", ""value"": {""coordinates"": [""50.64111085"", ""5.59755243""]}, ""metadata"": {}}, ""name"": {""type"": ""Text"", ""value"": ""MO03"", ""metadata"": {}}, ""refDevice"": {""type"": ""Text"", ""value"": ""1854"", ""metadata"": {}}, ""refParkingGroup"": {""type"": ""Text"", ""value"": ""122"", ""metadata"": {}}, ""refParkingSite"": {""type"": ""Text"", ""value"": ""LIEGE"", ""metadata"": {}}, ""status"": {""type"": ""Text"", ""value"": ""OCCUPIED"", ""metadata"": {""timestamp"": {""type"": ""DateTime"", ""value"": ""2023-03-18T09:38:11.00Z""}}}, ""session"": {""type"": ""Number"", ""value"": 3324360, ""metadata"": {}}}";935;ParkingSpot;onstreet,SHOPANDDRIVE;MO03;50.64111085, 5.59755243;MO03;1854;122;LIEGE;Occupé;2023-03-18T10:38:11+01:00;;https://www.liege.be/shopanddrive
"{""id"": ""219"", ""type"": ""ParkingSpot"", ""category"": {""type"": ""Text"", ""value"": [""onstreet"", ""SHOPANDDRIVE""], ""metadata"": {}}, ""dateModified"": {""type"": ""DateTime"", ""value"": ""2023-03-11T21:18:01.00Z"", ""metadata"": {}}, ""description"": {""type"": ""Text"", ""value"": ""PA04"", ""metadata"": {}}, ""location"": {""type"": ""Point"", ""value"": {""coordinates"": [""50.62675100"", ""5.57075300""]}, ""metadata"": {}}, ""name"": {""type"": ""Text"", ""value"": ""PA04"", ""metadata"": {}}, ""refDevice"": {""type"": ""Text"", ""value"": ""1795"", ""metadata"": {}}, ""refParkingGroup"": {""type"": ""Text"", ""value"": ""19"", ""metadata"": {}}, ""refParkingSite"": {""type"": ""Text"", ""value"": ""LIEGE"", ""metadata"": {}}, ""status"": {""type"": ""Text"", ""value"": ""FREE"", ""metadata"": {""timestamp"": {""type"": ""DateTime"", ""value"": ""2023-03-11T21:18:01.00Z""}}}, ""session"": {""type"": ""Number"", ""value"": 3288888, ""metadata"": {}}}";219;ParkingSpot;onstreet,SHOPANDDRIVE;PA04;50.626751, 5.570753;PA04;1795;19;LIEGE;Libre;2023-03-11T22:18:01+01:00;Rue Paradis;https://www.liege.be/shopanddrive
"{""id"": ""100"", ""type"": ""ParkingSpot"", ""category"": {""type"": ""Text"", ""value"": [""onstreet"", ""SHOPANDDRIVE""], ""metadata"": {}}, ""dateModified"": {""type"": ""DateTime"", ""value"": ""2023-03-05T15:09:30.00Z"", ""metadata"": {}}, ""description"": {""type"": ""Text"", ""value"": ""CL07"", ""metadata"": {}}, ""location"": {""type"": ""Point"", ""value"": {""coordinates"": [""50.63860900"", ""5.57098900""]}, ""metadata"": {}}, ""name"": {""type"": ""Text"", ""value"": ""CL07"", ""metadata"": {}}, ""refDevice"": {""type"": ""Text"", ""value"": ""2111"", ""metadata"": {}}, ""refParkingGroup"": {""type"": ""Text"", ""value"": ""13"", ""metadata"": {}}, ""refParkingSite"": {""type"": ""Text"", ""value"": ""LIEGE"", ""metadata"": {}}, ""status"": {""type"": ""Text"", ""value"": ""OCCUPIED"", ""metadata"": {""timestamp"": {""type"": ""DateTime"", ""value"": ""2023-03-05T15:09:30.00Z""}}}, ""session"": {""type"": ""Number"", ""value"": 3252530, ""metadata"": {}}}";100;ParkingSpot;onstreet,SHOPANDDRIVE;CL07;50.638609, 5.570989;CL07;2111;13;LIEGE;Occupé;2023-03-05T16:09:30+01:00;Rue des Clarisses;https://www.liege.be/shopanddrive
"{""id"": ""135"", ""type"": ""ParkingSpot"", ""category"": {""type"": ""Text"", ""value"": [""onstreet"", ""SHOPANDDRIVE""], ""metadata"": {}}, ""dateModified"": {""type"": ""DateTime"", ""value"": ""2023-03-05T20:31:21.00Z"", ""metadata"": {}}, ""description"": {""type"": ""Text"", ""value"": ""DE09"", ""metadata"": {}}, ""location"": {""type"": ""Point"", ""value"": {""coordinates"": [""50.63853200"", ""5.57300800""]}, ""metadata"": {}}, ""name"": {""type"": ""Text"", ""value"": ""DE09"", ""metadata"": {}}, ""refDevice"": {""type"": ""Text"", ""value"": ""2120"", ""metadata"": {}}, ""refParkingGroup"": {""type"": ""Text"", ""value"": ""9"", ""metadata"": {}}, ""refParkingSite"": {""type"": ""Text"", ""value"": ""LIEGE"", ""metadata"": {}}, ""status"": {""type"": ""Text"", ""value"": ""FREE"", ""metadata"": {""timestamp"": {""type"": ""DateTime"", ""value"": ""2023-03-05T20:31:21.00Z""}}}, ""session"": {""type"": ""Number"", ""value"": 3253283, ""metadata"": {}}}";135;ParkingSpot;onstreet,SHOPANDDRIVE;DE09;50.638532, 5.573008;DE09;2120;9;LIEGE;Libre;2023-03-05T21:31:21+01:00;Avenue Maurice Destenay;https://www.liege.be/shopanddrive
"{""id"": ""97"", ""type"": ""ParkingSpot"", ""category"": {""type"": ""Text"", ""value"": [""onstreet"", ""SHOPANDDRIVE""], ""metadata"": {}}, ""dateModified"": {""type"": ""DateTime"", ""value"": ""2023-03-15T04:22:24.00Z"", ""metadata"": {}}, ""description"": {""type"": ""Text"", ""value"": ""CL04"", ""metadata"": {}}, ""location"": {""type"": ""Point"", ""value"": {""coordinates"": [""50.63853700"", ""5.57079200""]}, ""metadata"": {}}, ""name"": {""type"": ""Text"", ""value"": ""CL04"", ""metadata"": {}}, ""refDevice"": {""type"": ""Text"", ""value"": ""2139"", ""metadata"": {}}, ""refParkingGroup"": {""type"": ""Text"", ""value"": ""13"", ""metadata"": {}}, ""refParkingSite"": {""type"": ""Text"", ""value"": ""LIEGE"", ""metadata"": {}}, ""status"": {""type"": ""Text"", ""value"": ""FREE"", ""metadata"": {""timestamp"": {""type"": ""DateTime"", ""value"": ""2023-03-15T04:22:24.00Z""}}}, ""session"": {""type"": ""Number"", ""value"": 3299193, ""metadata"": {}}}";97;ParkingSpot;onstreet,SHOPANDDRIVE;CL04;50.638537, 5.570792;CL04;2139;13;LIEGE;Libre;2023-03-15T05:22:24+01:00;Rue des Clarisses;https://www.liege.be/shopanddrive
