Geo Point;Geo Shape;Identifiant;Code rue (ICAR / BeStaddress);Rue;Code rue;Numéro;Identifiant d'adresse (ICAR / BeStaddress);Commune;Code postal;Places disponibles;Date de création;Date de dernière modification;Statut;Année de mise en service;Largeur;Longueur;Ville
50.6101749014, 5.6008118342;"{""coordinates"": [5.6008118342, 50.6101749014], ""type"": ""Point""}";1843;7730509;rue de Tilff;7246;31;1134563;Liège;4031;1;2022-04-08;2022-04-08;Existant;2022;;6;Liège
50.6391683213, 5.5392660109;"{""coordinates"": [5.5392660109, 50.6391683213], ""type"": ""Point""}";1857;7731320;rue Saint-Nicolas;4236;317;1176968;Liège;4000;1;2022-04-28;2022-06-20;Existant;;;6;Liège
50.6202022803, 5.5884612283;"{""coordinates"": [5.5884612283, 50.6202022803], ""type"": ""Point""}";1835;7730120;quai des Ardennes;124;37;1134311;Liège;4020;1;2021-12-17;2021-12-17;Existant;;;6;Liège
50.666880807, 5.5821256468;"{""coordinates"": [5.5821256468, 50.666880807], ""type"": ""Point""}";1842;7730602;rue des Dahlias;822;23;1212168;Liège;4000;1;2022-03-24;2022-03-24;Existant;;;6;Liège
50.632181702, 5.5673380115;"{""coordinates"": [5.5673380115, 50.632181702], ""type"": ""Point""}";1280;7729672;boulevard d'Avroy;31;230;1911613;Liège;4000;1;2021-03-25;2021-03-25;Existant;;;;Liège
50.6393934706, 5.5684874415;"{""coordinates"": [5.5684874415, 50.6393934706], ""type"": ""Point""}";1675;7729672;boulevard d'Avroy;21;14;1130289;Liège;4000;3;2021-04-07;2021-04-07;Existant;;;;Liège
50.6706718463, 5.6591442521;"{""coordinates"": [5.6591442521, 50.6706718463], ""type"": ""Point""}";1841;7730528;rue d'Elmer;6615;10;1228271;Liège;4020;1;2022-03-10;2022-03-10;Existant;;;6;Liège
50.6205044234, 5.5948295673;"{""coordinates"": [5.5948295673, 50.6205044234], ""type"": ""Point""}";1364;7729674;boulevard de Douai;7784;51;1110936;Liège;4030;1;2021-03-25;2021-03-25;Existant;;;;Liège
50.6356475987, 5.5691672411;"{""coordinates"": [5.5691672411, 50.6356475987], ""type"": ""Point""}";950;7729698;boulevard Piercot;359;52;1114819;Liège;4000;1;2013-05-30;2021-09-02;Existant;;;;Liège
50.6774593505, 5.5448657983;"{""coordinates"": [5.5448657983, 50.6774593505], ""type"": ""Point""}";1323;7729709;chaussée de Tongres;8227;461;1110973;Liège;4000;1;2021-03-25;2021-03-25;Existant;;;;Liège
50.6643040496, 5.5612692216;"{""coordinates"": [5.5612692216, 50.6643040496], ""type"": ""Point""}";1666;7729709;chaussée de Tongres;8227;12;1130384;Liège;4000;1;2021-03-31;2021-03-31;Existant;;;;Liège
50.64338863, 5.5339580793;"{""coordinates"": [5.5339580793, 50.64338863], ""type"": ""Point""}";1327;7729745;cité du Moulin;4618;71;1115761;Liège;4000;1;2021-03-25;2021-03-25;Existant;;;;Liège
50.6479652195, 5.5668724066;"{""coordinates"": [5.5668724066, 50.6479652195], ""type"": ""Point""}";1491;7729933;Montagne Sainte-Walburge;851;13;1226794;Liège;4000;3;2021-03-26;2021-08-19;Existant;;;;Liège
50.6519466121, 5.5714326865;"{""coordinates"": [5.5714326865, 50.6519466121], ""type"": ""Point""}";1494;7729933;Montagne Sainte-Walburge;851;124;1226800;Liège;4000;1;2021-03-26;2021-03-26;Existant;;;;Liège
50.6235003662, 5.5704583094;"{""coordinates"": [5.5704583094, 50.6235003662], ""type"": ""Point""}";1406;7729992;place des Franchises;33;12;1117048;Liège;4000;1;2021-03-26;2021-03-26;Existant;;;;Liège
50.6122599901, 5.5923301039;"{""coordinates"": [5.5923301039, 50.6122599901], ""type"": ""Point""}";1838;7731225;rue Ovide Decroly;7213;137;1190143;Liège;4031;1;2022-01-28;2022-01-28;Existant;;;6;Liège
50.63707332, 5.5695522966;"{""coordinates"": [5.5695522966, 50.63707332], ""type"": ""Point""}";1550;7730054;place Saint-Jacques;261;24;1135116;Liège;4000;1;2021-03-27;2021-03-27;Existant;;;;Liège
50.6408606228, 5.59093853;"{""coordinates"": [5.59093853, 50.6408606228], ""type"": ""Point""}";1296;7730106;quai Bonaparte;714;48;1115769;Liège;4020;1;2021-03-25;2021-03-25;Existant;;;;Liège
50.6375230873, 5.5809060536;"{""coordinates"": [5.5809060536, 50.6375230873], ""type"": ""Point""}";1501;7730116;quai de l'Ourthe;65;41;1226841;Liège;4020;1;2021-03-26;2021-03-26;Existant;;;;Liège
50.6200355212, 5.5852730139;"{""coordinates"": [5.5852730139, 50.6200355212], ""type"": ""Point""}";1333;7730125;quai du Condroz;1212;21;1117024;Liège;4031;1;2021-03-25;2021-03-25;Existant;;;;Liège
50.6198700108, 5.5893679005;"{""coordinates"": [5.5893679005, 50.6198700108], ""type"": ""Point""}";1272;7730120;quai des Ardennes;124;43;1134304;Liège;4020;1;2021-03-25;2021-03-25;Existant;;;;Liège
50.6213133793, 5.585175634;"{""coordinates"": [5.585175634, 50.6213133793], ""type"": ""Point""}";1271;7730120;quai des Ardennes;124;16;1134358;Liège;4020;1;2021-03-25;2021-03-25;Existant;;;;Liège
50.6471897242, 5.5871005121;"{""coordinates"": [5.5871005121, 50.6471897242], ""type"": ""Point""}";1552;7730141;quai Saint-Léonard;52;6;1108888;Liège;4000;1;2021-03-27;2021-03-27;Existant;;;;Liège
50.6032247217, 5.6053488795;"{""coordinates"": [5.6053488795, 50.6032247217], ""type"": ""Point""}";1561;7730142;quai Saint-Paul de Sinçay;7241;96;1111054;Liège;4031;1;2021-03-27;2021-03-27;Existant;;;;Liège
50.6113252646, 5.562715122;"{""coordinates"": [5.562715122, 50.6113252646], ""type"": ""Point""}";833;7730147;résidence Fraternité;9826;6;1135197;Liège;4000;1;2013-05-30;2021-09-02;Existant;;;;Liège
50.6329176541, 5.5784170019;"{""coordinates"": [5.5784170019, 50.6329176541], ""type"": ""Point""}";1576;7730178;rue Armand Stouls;71;36;1127914;Liège;4020;1;2021-03-27;2021-03-27;Existant;;;;Liège
50.6329040176, 5.5802598257;"{""coordinates"": [5.5802598257, 50.6329040176], ""type"": ""Point""}";1688;7730178;rue Armand Stouls;71;2;1871786;Liège;4020;2;2021-04-14;2021-04-14;Existant;;;;Liège
50.6439218399, 5.5484873482;"{""coordinates"": [5.5484873482, 50.6439218399], ""type"": ""Point""}";1622;7730219;rue Bois Gotha;421;100;1136984;Liège;4000;1;2021-03-31;2021-03-31;Existant;;;;Liège
50.6437304915, 5.5484268519;"{""coordinates"": [5.5484268519, 50.6437304915], ""type"": ""Point""}";1293;7730219;rue Bois Gotha;421;97;1130483;Liège;4000;1;2021-03-25;2021-03-25;Existant;;;;Liège
50.643504105, 5.5481768524;"{""coordinates"": [5.5481768524, 50.643504105], ""type"": ""Point""}";1623;7730219;rue Bois Gotha;421;120;1136973;Liège;4000;1;2021-03-31;2021-03-31;Existant;;;;Liège
50.6626010864, 5.5654128894;"{""coordinates"": [5.5654128894, 50.6626010864], ""type"": ""Point""}";1297;7730229;rue Bontemps;81;42;1124521;Liège;4000;1;2021-03-25;2021-03-25;Existant;;;;Liège
50.6146886812, 5.5826267615;"{""coordinates"": [5.5826267615, 50.6146886812], ""type"": ""Point""}";1303;7730230;rue Bossy;7279;75;1126676;Liège;4031;1;2021-03-25;2021-03-25;Existant;;;;Liège
50.6127206361, 5.61807497;"{""coordinates"": [5.61807497, 50.6127206361], ""type"": ""Point""}";1304;7730231;rue Bourdon;748;38;1120179;Liège;4032;1;2021-03-25;2021-03-25;Existant;;;;Liège
50.6330045858, 5.5625045752;"{""coordinates"": [5.5625045752, 50.6330045858], ""type"": ""Point""}";951;7730256;rue Charles Morren;314;3;1121817;Liège;4000;1;2013-05-30;2021-09-02;Existant;;;;Liège
50.6457928743, 5.5644350913;"{""coordinates"": [5.5644350913, 50.6457928743], ""type"": ""Point""}";1630;7730268;rue Coqraimont;431;5;1217935;Liège;4000;1;2021-03-31;2021-03-31;Existant;;;;Liège
50.6145436372, 5.5812193557;"{""coordinates"": [5.5812193557, 50.6145436372], ""type"": ""Point""}";1781;7730284;rue d'Angleur;7281;35;1132305;Liège;4031;1;2021-08-25;2021-08-25;Existant;;;;Liège
50.6370225992, 5.563501019;"{""coordinates"": [5.563501019, 50.6370225992], ""type"": ""Point""}";1351;7730287;rue Darchis;226;55;1114992;Liège;4000;1;2021-03-25;2021-03-25;Existant;;;;Liège
50.6217972548, 5.5854976292;"{""coordinates"": [5.5854976292, 50.6217972548], ""type"": ""Point""}";813;7730305;rue de Chaudfontaine;1211;14;1116850;Liège;4020;1;2013-05-30;2021-09-02;Existant;;;;Liège
50.610715855, 5.6060564471;"{""coordinates"": [5.6060564471, 50.610715855], ""type"": ""Point""}";1325;7730307;rue de Chênée;727;43;1108135;Liège;4031;1;2021-03-25;2021-03-25;Existant;;;;Liège
50.6280515329, 5.6272728312;"{""coordinates"": [5.6272728312, 50.6280515329], ""type"": ""Point""}";1434;7730326;rue de Herve;7671;350;1119023;Liège;4030;1;2021-03-26;2021-03-26;Existant;;;;Liège
50.6326222638, 5.6050701861;"{""coordinates"": [5.6050701861, 50.6326222638], ""type"": ""Point""}";807;7730326;rue de Herve;798;71;1134522;Liège;4030;1;2013-05-30;2021-09-02;Existant;;;;Liège
50.6294776743, 5.6178744838;"{""coordinates"": [5.6178744838, 50.6294776743], ""type"": ""Point""}";1433;7730326;rue de Herve;7612;180;1237683;Liège;4030;1;2021-03-26;2021-03-26;Existant;;;;Liège
50.6558193804, 5.5774022275;"{""coordinates"": [5.5774022275, 50.6558193804], ""type"": ""Point""}";1740;7730347;rue de la Chaîne;817;26;1133258;Liège;4000;1;2021-08-19;2021-08-19;Existant;;;;Liège
50.6318274526, 5.6274116881;"{""coordinates"": [5.6274116881, 50.6318274526], ""type"": ""Point""}";1712;7730352;rue de la Chaudronnerie;7672;13;1222294;Liège;4030;1;2021-05-17;2021-05-17;Existant;;;;Liège
50.648497429, 5.5566844923;"{""coordinates"": [5.5566844923, 50.648497429], ""type"": ""Point""}";1466;7730378;rue de la Légia;476;48;1912178;Liège;4000;1;2021-03-26;2021-03-26;Existant;;;;Liège
50.6454536379, 5.5999156905;"{""coordinates"": [5.5999156905, 50.6454536379], ""type"": ""Point""}";1484;7730389;rue de la Métallurgie;623;15;1137111;Liège;4020;2;2021-03-26;2021-03-26;Existant;;;;Liège
50.6270308927, 5.6056121193;"{""coordinates"": [5.6056121193, 50.6270308927], ""type"": ""Point""}";1371;7730451;rue de l'Enclume;7958;30;1117753;Liège;4030;1;2021-03-25;2021-03-25;Existant;;;;Liège
50.6408454553, 5.5870838944;"{""coordinates"": [5.5870838944, 50.6408454553], ""type"": ""Point""}";1372;7730453;rue de l'Enseignement;627;15;1109173;Liège;4020;2;2021-03-25;2021-10-16;Existant;;;;Liège
50.6429427793, 5.6169934067;"{""coordinates"": [5.6169934067, 50.6429427793], ""type"": ""Point""}";1615;7730467;rue de Liège;6476;121;1239958;Liège;4020;1;2021-03-27;2021-03-27;Existant;;;;Liège
50.6432455436, 5.6182593239;"{""coordinates"": [5.6182593239, 50.6432455436], ""type"": ""Point""}";1616;7730467;rue de Liège;6476;91;1121207;Liège;4020;1;2021-03-27;2021-03-27;Existant;;;;Liège
50.6352119328, 5.603395981;"{""coordinates"": [5.603395981, 50.6352119328], ""type"": ""Point""}";1772;7730493;rue de Robermont;6327;290;1131172;Liège;4020;1;2021-08-25;2021-08-25;Existant;;;;Liège
50.6243543472, 5.5702838655;"{""coordinates"": [5.5702838655, 50.6243543472], ""type"": ""Point""}";1678;7730497;rue de Sclessin;371;47;1218094;Liège;4000;1;2021-04-07;2021-04-07;Existant;;;;Liège
50.6276430406, 5.5687211008;"{""coordinates"": [5.5687211008, 50.6276430406], ""type"": ""Point""}";850;7730500;rue de Serbie;373;73;1134166;Liège;4000;1;2013-05-30;2021-09-02;Existant;;;;Liège
50.6295939156, 5.568487841;"{""coordinates"": [5.568487841, 50.6295939156], ""type"": ""Point""}";827;7730500;rue de Serbie;373;5;1440011;Liège;4000;1;2013-05-30;2021-09-02;Existant;;;;Liège
50.6259417068, 5.5688720612;"{""coordinates"": [5.5688720612, 50.6259417068], ""type"": ""Point""}";849;7730500;rue de Serbie;373;128;1207365;Liège;4000;1;2013-05-30;2021-09-02;Existant;;;;Liège
50.6216857642, 5.5894990873;"{""coordinates"": [5.5894990873, 50.6216857642], ""type"": ""Point""}";1574;7730506;rue de Stavelot;1256;13;1123338;Liège;4020;1;2021-03-27;2021-03-27;Existant;;;;Liège
50.6139678662, 5.5522619787;"{""coordinates"": [5.5522619787, 50.6139678662], ""type"": ""Point""}";1587;7730511;rue de Trazegnies;9884;60;1236145;Liège;4000;1;2021-03-27;2021-03-27;Existant;;;;Liège
