Dataset identifier;Federated dataset;Title;Description;Themes;Keywords;License;Language;Timezone;Modified;Data processed;Metadata processed;Publisher;Reference;Attributions;Number of records;Size of records in the dataset (in bytes);Reuse count;API call count;Download count;Attachments download count;File fields download count;Popularity score;Visibility (domain or restricted);Published;Publishing properties
gares-sncb;False;Gares SNCB;<p>Gares de chemins de fer (SNCB) avec les gares de départ et de destination.</p>;Mobilité, Transports;"gare;train;SNCB";CC BY-SA;fr;;2015-03-25T12:17:06+01:00;2018-01-08T00:17:30+01:00;2018-01-08T00:17:31+01:00;iRail;https://github.com/iRail/stations;;559;102812;0;106621;1093;0;0;12.3;domain;True;manual
sncb-stations;False;SNCB stations;<p>Train stations (SNCB - NMBS) with departure and arrival stations.</p>;Mobilité, Transports;"train;station;SNCB";CC BY-SA;en;;2015-03-25T12:17:06+01:00;2018-01-08T00:10:26+01:00;2018-01-08T00:10:27+01:00;iRail;https://github.com/iRail/stations;;559;102812;0;303860;558;0;0;19.0;domain;True;manual
bruxelles_ecoles_francophones;False;Ecoles francophones;<p>Localisation des écoles francophones de la Ville de Bruxelles.</p>;Education, Formation, Recherche, Enseignement;"école;enseignement;francophone";Licence Ouverte (Etalab);fr;;2014-04-06T08:30:25+02:00;2018-01-08T00:05:32+01:00;2023-01-31T19:11:45.614000+01:00;Ville de Bruxelles/Instruction publique;http://www.bruxelles.be/5013;;84;8722;0;283070;320;0;0;18.1;domain;True;manual
bruxelles_bulles_a_verre;False;Bulles à verre;<p>Localisation des bulles (conteneurs) à verre installées sur le territoire de la Ville de Bruxelles.</p>;Environnement, Propreté;"bulle à verre;déchet;conteneur;container";Licence Ouverte (Etalab);fr;;2017-03-20T11:19:03+01:00;2018-01-08T00:07:49+01:00;2023-01-31T19:11:48.299000+01:00;Bruxelles Propreté;http://www.bruxelles.be/5181;;86;8755;0;1351856;2044;0;0;39.9;domain;True;manual
vacatures;False;Vacatures;"<p>Dataset van de RSS-feeds van de vacatures op de website van de Stad Brussel (van het departement Personeel, Openbaar onderwijs, paragemeentelijke verenigingen,...):&nbsp;<a href=""http://www.brussel.be/artdet.cfm?function=rss&id=4108"" target=""_blank"">http://www.brussel.be/artdet.cfm?function=rss&id=4108</a></p>";Economie, Business, PME, Développement économique, Emploi;"werk;job;vacature";Licence Ouverte (Etalab);nl;;2014-04-14T15:37:01+02:00;;2023-01-31T19:11:49.701000+01:00;Stad Brussel;http://www.brussel.be/6308;;0;0;0;7054;157;0;0;3.4;domain;True;manual
franstalige-bibliotheken;False;Franstalige bibliotheken;<p>Locatie van de Franstalige bibliotheken van de Stad Brussel.</p>;Culture, Patrimoine, Folklore;"bibliotheek;bib;boek;franstalig";Licence Ouverte (Etalab);nl;;2016-01-15T13:38:44+01:00;2019-05-20T11:48:51+02:00;2023-01-31T19:11:50.014000+01:00;Stad Brussel/Openbaar onderwijs;http://www.brussel.be/4649;;15;2729;0;190381;184;0;0;14.8;domain;True;manual
striproute0;False;Striproute;"<p>Locatie van de stripmuren van de Stad Brussel (personages &amp; auteurs).</p>";Culture, Patrimoine, Folklore;"Cultuur;stripmuren;stripmuur;strip;fresco;muurtekening;personage";Licence Ouverte (Etalab);nl;;2021-12-15T13:55:44+01:00;2021-12-15T13:55:44+01:00;2023-01-31T19:11:49.829000+01:00;Stad Brussel;http://www.brussel.be/5316;;64;26083;0;2701299;664;0;9745;54.3;domain;True;manual
parkeerplaatsen-voor-gehandicapten;False;Parkeerplaatsen voor gehandicapten;"<p>
    Locatie van de parkeerplaatsen voor gehandicapten op het grondgebied van de Stad Brussel.
</p>";Mobilité, Transports;"parkeren;handicap;auto";Licence Ouverte (Etalab);nl;;2017-04-04T16:35:46+02:00;2018-01-07T23:52:03+01:00;2023-01-31T19:11:51.380000+01:00;Open Data Team - Ville de Bruxelles;http://www.brussel.be/4533;;877;117094;0;812993;422;0;0;30.1;domain;True;manual
glasbollen;True;Glasbollen;<p>Locatie van de glascontainers op het grondgebied van de Stad Brussel.</p>;Environnement, Propreté;"container;glas";Licence Ouverte (Etalab);nl;;2017-03-20T11:19:03+01:00;2018-01-08T00:07:49+01:00;2023-01-31T19:11:53.322000+01:00;Net Brussel;http://www.bruxelles.be/5181;;86;8755;0;281004;238;0;0;17.9;domain;True;federated
invasieve-exotische-planten;False;Invasieve exotische planten;<p>Locatie van invasieve exotische plantensoorten op het grondgebied van de Stad Brussel.</p>;Environnement, Propreté;;Licence Ouverte (Etalab);nl;;2014-04-17T10:08:34+02:00;2018-01-07T23:58:19+01:00;2023-01-31T19:11:54.500000+01:00;Stad Brussel/Groene Ruimten;;;63;3350;0;11458;234;0;0;4.3;domain;True;manual
sectoren-bewonerskaart;False;Sectoren bewonerskaart;<p>Lijst met straten per sector van de bewonerskaarten op het grondgebied van de Stad Brussel.</p>;Mobilité, Transports;"bewonerskaart;auto;mobiliteit;parkeerkaart;parkeerplaats";Licence Ouverte (Etalab);nl;;2017-02-14T12:41:47+01:00;2018-01-08T00:17:26+01:00;2023-01-31T19:11:54.695000+01:00;Stad Brussel;http://www.brussel.be/4935;;1222;40373;0;26913;333;0;0;6.3;domain;True;manual
bioscopen;False;Bioscopen;<p>Locaties van de bioscopen op het grondgebied van de Stad Brussel.</p>;Sport, Loisirs,Culture, Patrimoine, Folklore;"bioscoop;cinema";Licence Ouverte (Etalab);nl;;2014-05-13T15:27:55+02:00;2019-05-08T15:38:43+02:00;2023-01-31T19:11:55.205000+01:00;Stad Brussel/Cel Web;http://www.brussel.be/5233;;8;863;0;207877;219;0;0;15.5;domain;True;manual
aantal-bezoekers-website-stad-brussel;False;Bezoeken & bezoekers website Stad Brussel;<p>Statistieken van de bezoekersaantallen website Stad Brussel.</p>;Internet, TIC;"web;website;Internet";Licence Ouverte (Etalab);nl;;2016-01-15T16:15:54+01:00;2018-01-07T23:51:43+01:00;2023-01-31T19:11:54.825000+01:00;Stad Brussel/Cel Web;http://www.brussel.be/6277;;86;2128;0;10599;168;0;0;4.0;domain;True;manual
